id,created_time,message,is_popular
225292010874776_4572366496167284,2020-12-07T07:30:09+0000,"【#荷式社會文化】買棵🌲真的聖誕樹🌲放客廳吧！
 
聖尼古拉斯節（Sinterklaas）剛過，為12月滿滿的節慶氛圍拉開序幕。通常在荷蘭的非成文習慣是：12月5日過完聖尼古拉斯節之後，才會輪到準備 #聖誕節 ，出門買聖誕節裝飾。不過今年被疫情悶壞的荷蘭人，早就等不了那麼久了，買 #聖誕樹 熱潮在11月中就已經掀起，不少荷蘭人迫不及待地想要買棵聖誕樹，讓家裡更加舒適溫馨啦！
 
#在台灣都只在雜貨店買過塑膠聖誕樹
#沒想到荷蘭人居然是把真的樹整棵搬回家😂
 
在荷蘭有很多「聖誕樹市場」、「聖誕樹園」，大家可以親自到現場挑選喜歡的樹，現買現砍。現在因應疫情，上網訂購也是很好的選項。受歡迎的聖誕樹種是「歐洲雲杉（Picea abies）」；「高加索冷杉（Abies nordmanniana）」、「藍葉雲杉（Picea pungens）」也很熱門。
 
如果你住得離梵谷國家森林公園（Nationale Park De Hoge Veluwe）不遠，還可以直接到國家公園裡免費砍樹帶回家呢！不只能享受闔家挑樹砍樹的樂趣，還能幫助國家公園帶走生長得過於迅速的樹，維持生態平衡。
 
至於該如何照顧放在家中的樹呢？定期澆水是必須的，而且根據聖誕樹供應商 Kerstboom.nl 的介紹，在水中「加糖」也是讓樹可以綠久一點的好方法唷！最好將樹放在明亮的地方，而且記得不要放在離火爐或暖氣太近，不然聖誕樹就會變成樹葉乾啦🍂🍂

#家裡有樹的朋友們來留言曬一下樹吧🌲🌲🌲

🎄 重溫一下疫情前，荷蘭還有哪些地方，可以看到、買到不同樣式的聖誕樹：https://pse.is/39qs4s
 
🌲 梵谷國家森林公園砍樹活動（須預約時段；每人可免費帶走一棵樹，進入公園及停車場須付費）：https://www.hogeveluwe.nl/nl/agenda/zaag-je-eigen-kerstboom
 
📰 資料來源：https://www.rtlnieuws.nl/nieuws/nederland/artikel/5195338/kerstboom-verkoop-kerstmis-intratuin-eerder
📰 圖片來源：https://nos.nl/artikel/2353078-kerstverkopen-dit-jaar-niet-pas-na-sinterklaas-eerste-mensen-halen-al-bomen.html",True
225292010874776_4651913241545942,2020-12-05T15:41:02+0000,"【荷式社會文化】兒歌教學：整個世界都在聖尼古拉斯的禮物袋裡！

今天（12月5日）是荷蘭版聖誕節「#聖尼古拉斯節（#Sinterklaasfeest）」，晚上則被稱為「#pakjesavond」，直譯為「包裹夜」，也就是小朋友會收到很多禮物的一晚！📦🎁👟🥾

這個對小朋友超重要的節日，有超多不同的歌可以唱，主要都是在說我很乖我想收到超多禮物～下面介紹一首〈聖尼古拉斯的袋子〉，在小朋友眼中的聖尼古拉斯，全身禮物充滿，簡直是世界的老大、唯一的真理呀💝📦🎁

De zak van Sinterklaas, 聖尼古拉斯的袋子
Sinterklaas, Sinterklaas. 聖尼古拉斯
De zak van Sinterklaas, 聖尼古拉斯的袋子
oh jongens, jongens, 't is zo'n baas! 哇塞，他真是老大

Daar stopt hij, daar stopt hij, 他在這裝一點，在那裝一點
daar stopt hij blij van zin. 他高興地把裝滿禮物
De hele, de hele, de hele wereld in! 整個世界都裝在他的袋子裡

來聽整首歌兼看卡通（and photo credit）：https://www.youtube.com/watch?v=TSyvXV6yVJQ",False
225292010874776_4642138352523431,2020-12-04T08:00:15+0000,"【#荷式社會文化】讓我們一起聽聽唱唱2000首歌，歡送這爛透了的2020年
 
聖誕將至，當每年進入尾聲，荷蘭電台NPO Radio 2會舉辦Top 2000歌曲馬拉松活動，自聖誕節當天（12月25日）至跨年夜（12月31日），每天24小時不間斷，播放該年度最受歡迎的2000首歌曲。播放歌單來自於民眾票選，所以每年會有新歌曲入榜，也會有歌曲不幸地落榜。
 
此活動於1999年初試啼聲，原本只是一個為了慶祝千禧年到來而舉辦的特別節目，沒想到播出後大受歡迎，因此電台決定將此活動延伸為每年固定舉行的年終節目。（編按：有種紅白歌唱大賽的感覺？）
 
以往，NPO Radio 2會在Hiversum的荷蘭聲音和視覺研究所（Nederlands Instituut voor Beeld en Geluid）搭建Top 2000 cafe進行直播，直播期間也開放民眾購票參加。今年因應防疫措施，Top 2000 cafe移往虛擬平台進行，可供使用者環繞360度參觀。cafe裡的擺設皆和許多有名的歌手或是樂團有關，若放大檢視擺設，還可進一步閱讀相關介紹或是觀看紀錄短片。
 
此外，依據Top 2000官方網站上的統計數字看來，70年代的老牌搖滾樂團（例如皇后樂團與老鷹樂團）在排行榜上長年居高不下，而且人氣程度並未因為年齡層而受到影響。小編剛剛也從2019排行榜上試聽了幾首以前從未聽過的歌曲，都是出自於耳熟能詳的音樂人，聽完之後深受鼓舞，不禁讚嘆經典之所以為經典，還是有其道理的。🎶🎶
 
今年的票選期間為12月1日至12月7日，每個人都可投最少5首、最多35首歌。如果你選的歌榜上有名，電台還可以通知你它們何時播出。NPO Radio 2開放線上收聽，祝大家投票和聽歌愉快😃
 
Top 2000官方網站：https://www.nporadio2.nl/top2000　
投下神聖的很多票：https://stem.nporadio2.nl/top2000-2020/1
參觀精緻的虛擬Top 2000 Cafe：https://top2000onlinecafe.nporadio2.nl/
 
Photo Credit: https://www.droidapp.nl/nieuws/top-2000-app/
 
 
#成千上萬首候選歌還真不知道要從何投起",False
225292010874776_4635689033168363,2020-12-02T07:57:35+0000,"【#荷蘭職場】荷蘭跨國科技業PM實習：面試準備＆實戰經驗分享
作者：楊雅淳 Iris Yang

「我們會花一兩年的時間來準備考高中、大學，那對於自己有可能會投入五年、十年、甚至更久的職涯，怎麼可能只花一個晚上準備就想著會成功呢？」許多朋友遠赴重洋到荷蘭求學，希望學成以後也可以在荷蘭找到工作，提升經驗值。但是在新的國度找工作可不是一蹴可及，光是第一步要摸索荷蘭求職的遊戲規則就是一大學問。

來看看Iris的分享：她於就讀 #鹿特丹管理學院（Rotterdam School of Management, Erasmus University）期間，成功獲得在跨國科技業擔任 #產品經理 實習生（Product Management Intern）的機會。

在荷蘭實習是怎麼情況呢？（暴雷：有錢拿）
怎麼準備面試才能知己知彼百戰百勝呢？（提示：要肉搜面試官）
面試過程又會發生哪些事呢？（筆記：要會回答問題也要會回問問題）
🧐直接點預覽看全文：https://reurl.cc/n03mM2

🖋你也想跟我們分享你的荷蘭求職求學的經驗嗎？來投稿吧：https://reurl.cc/pyNaRl",False
225292010874776_4631485426922057,2020-12-01T07:09:00+0000,"【#荷式時事】全國性口罩政策本日上路

荷蘭的口罩措施於今天（12月1日）起生效：年滿12歲以上，在室內公共場合均須戴口罩，並同時遮蓋嘴巴和鼻子。若在室內坐在指定座位上則可不必戴口罩，例如電影院或是教室。違者可罰款95歐元。

在此之間，荷蘭政府僅規定民眾在大眾交通工具內（不含月台和車站）必須戴口罩。政府於十月著手立法，以作為全國性強制戴口罩措施的法源依據。

😷荷蘭政府RIVM官方公告〈12月1日起強制戴口罩（Mondkapje verplicht vanaf 1 december）〉 https://tinyurl.com/y6o646hp

#遙想年初歐洲疫情剛爆發的時候
#大家擔心和爭論的主題是在荷蘭戴口罩算不算違法
#真是各種世界秩序重整的一年

圖說：「在此室內請戴口罩，謝謝。我保護你，你保護我❤️」
Photo credit: Gemeente Amsterdam, https://tinyurl.com/y2wwjc7g",False
225292010874776_4624069780996955,2020-11-30T10:22:06+0000,"【#荷式政治時事】反猶醜聞搭配反悔辭職的黨主席，FvD八點檔現正熱映中🗣📰

就在上星期，荷蘭政壇發生了一連串跌破眼鏡的鬧劇：政黨「FvD（民主論壇，Forum voor Democratie）」爆發反猶醜聞，被視為當紅政治新星的黨主席鮑德（Thierry Baudet）宣布辭去黨主席一職。更令人傻眼的是，他兩天後馬上反悔，宣布加入黨主席補選！#我跳出來我又跳進去啦～ 於此同時，黨內同胞也紛紛跳出來掀他的底或者趁亂退黨（#黨內互打免費）。目前FvD仍深陷混亂，就讓我們跟上這齣黨內混戰，看看這短短一週究竟發生了什麼事吧！

🌊前情提要：FvD與捲起輿論海嘯的JFvD（民主論壇青年部）

FvD是荷蘭的極右派民粹主義政黨，成立不到5年；創黨人暨黨主席鮑德，以年輕帥氣的形象和喜好展現學識為人所知。
這次事件的導火線，是JFvD（FvD青年部），於上上週六（11/21）被媒體爆料，有成員在社群軟體上，張貼反猶、反同、甚至同情納粹的言論。再加上JFvD已不是第一次爆出歧視言論爭議，讓人懷疑FvD內部是否長期包庇相關行徑。事情一出，黨內外輿論一片譁然。（反猶和納粹在荷蘭是非常嚴重而嚴肅的議題，就連被歸納在政治光譜保守極右的FvD，出現這種問題還是會引起軒然大波的！）

🌊鮑德辭職：被黨員捅刀後心有不甘

事發後不久（11/23），黨主席鮑德就在推特上發布影片，宣布辭去黨主席，承擔政治責任。不過就在他做出這個決定的隔天（11/24），他發現明明他辭去的只是主席的位置，但黨委員會竟然在背後補他一刀，直接公告鮑德「退出黨委員會」！

於是鮑德立刻在星期三（11/25）再次發推特，宣布5天後FvD壇將舉辦主席補選，而且他會參選。這次換委員會驚慌失措，因為根本連有要補選都沒人知道！

🌊反鮑德聲浪與退黨潮不止，FvD大失血

隨著歧視言論爭議持續延燒、鮑德和黨員隔空互嗆，危機一波未平一波又起，FvD黨內陷入一片混亂。越來越多重要黨員宣布辭退職務，也有越來越多黨員出來爆鮑德的黑料。像是FvD的上議院參議員包．維爾維（Nicki Pouw-Verweij）聲稱，她曾聽鮑德說過，他不明白為什麼有人會討厭反猶的人，「因為我（鮑德）認識的人幾乎都反猶啊！」當然鮑德極力否認這些指控。

黨委員會把位於阿姆斯特丹的黨部門鎖換掉，讓鮑德無法進入黨部。但鮑德手上仍握有FvD社群平台的帳密，並不斷透過這些管道發送訊息，而沒有帳密的委員會對此束手無策。 #不止撕破臉還互相傷害

鮑德在電視節目中說，他和FvD現在的關係就像離婚一樣。他認為自己是FvD的創黨人，反對他的黨員應離開另創新政黨。

FvD的這場風波仍在繼續，黨內局勢動盪。應該沒有人想得到，去年在省議會選舉中風風光光的FvD，才一年的光景就變得如此風雨飄搖吧！以鮑德領袖魅力起家的FvD，在鬧出這麼大的危機後將何去何從，也是值得關注的問題。

#不知道這齣政黨大戲是要完結了還是會再大戰一百集呢

🗳關於FvD和鮑德的迅速崛起，來看看去年的省級選舉介紹吧：https://pse.is/3atl2z

📰資料來源：
- https://nos.nl/artikel/2358095-crisisdagen-bij-forum-voor-democratie-wat-er-tot-nu-toe-gebeurde.html
- https://nos.nl/artikel/2332434-forum-voor-democratie-royeert-drie-leden-om-onacceptabele-uitingen.html
（懶人包資料附於圖片說明中）
📰FvD資料：
- 官網：https://www.fvd.nl/
- FB：https://facebook.com/forumvoordemocratie
- 推特：https://twitter.com/fvdemocratie
- IG：https://instagram.com/fvdnl",False
225292010874776_4608508805886386,2020-11-28T08:00:46+0000,"【#荷式社會文化】想就醫，誰保你？來聊聊荷蘭的醫療保險
 
大家想必時常耳聞旅外人士分享海外昂貴的醫療經歷，稱台灣的全民健保是台灣之光。那荷蘭和台灣的醫療保險制度有何異同，荷蘭的制度又是如何呢？
 
在荷蘭，每個人都必須要有醫療保險。和台灣相同的是，被保人每月支付固定金額的保險費（以低風險族群為例，每月約一百歐元），就醫時再自行支付未被保險涵蓋的項目。與台灣相異的是，荷蘭的自負額（Eigen Risico，直譯為「自己的風險」）是有天花板的。以低風險族群來說，2020年自負額上限是385歐元（政府會不定期重新計算並調整額度），若是該年度的總自負額超過此上限，剩餘的就由政府給付。被保人可以依自行狀況調整保險計畫的風險程度，風險愈高、年度自負額的上限就愈高，但是每月須支付的保險費也隨之下降，2020年自負額的上限最高可調整至885歐元。
 
上述的金額，無論男女老幼都以同樣標準計價，荷蘭法規也規定保險公司不得以被保人個體狀況而有特殊條例，例如拒保或是提高保險費等等。
 
此外，荷蘭的醫療保險給付並非由某個政府機構統一執行，而是分權給各家民間保險公司，由保險公司給付給醫療機構。保險公司給付給醫療機構的資金約有一半來自政府，另一半則是來自被保人平常繳納的保險金。對保險公司而言，越多人買他們的保險，他們就能有更穩定的資金來源，去支付該公司所有被保人的醫療費用。為了吸引更多被保人購買自家服務，常聽到的優惠方案例如贈送牙醫險😁（在荷蘭，牙齒斷掉可是非常貴的啊…）。
 
小編的荷蘭醫療保險簡介到此結束，有興趣想知道更多的話，歡迎在留言區和我們互動呦😉
 
資料來源：
https://www.independer.nl/zorgverzekering/info/dutch-health-insurance/system.aspx
https://en.wikipedia.org/wiki/Healthcare_in_the_Netherlands#Insurance
 
Photo Credit: Vox.com
https://www.vox.com/policy-and-politics/2020/1/17/21046874/netherlands-universal-health-insurance-private
 
#小編每次去家醫科看診的時候其實都很怕被索取鉅款",False
225292010874776_4609094952494438,2020-11-26T13:20:02+0000,"【#荷式社會文化】全世界第一家「真實價格」商店在阿姆斯特丹！🇧🇶

由荷蘭社會企業True Price發起的第一屆「True Price Festival 2020」，將在明天週五（11月27日）登場，與黑色星期五購物節（Black Friday）強勢對打！你的黑五採購清單上有包含氣候變遷、過勞、低薪嗎？在黑五瘋狂撿便宜之餘，你是否曾懷疑，這些超便宜背後究竟「便宜」了誰？

事實上，這些「下殺超低價」時常是把位在供應鏈底層、長年被剝削的生產者繼續殺到見骨。以荷蘭某知名咖啡品牌為例，消費者在超市以每磅約6歐元購買咖啡豆，其中僅有10%的營業收入會留在原產國【註1】。大品牌和超市賺走了絕大部分的利潤，咖啡農則受困在扭曲的利潤分配結構之中，咖啡豆生產過程中也常涉及土地污染、森林砍伐等環境破壞與剝削。

「True Pricing」的計價方式，便是確實計算出包含這些隱藏成本（hidden costs）的產品真實價格。以巧克力為例，當我們購買一根約150克、市價1.35歐元的巧克力棒，「地球」和「社會」分別替我們額外支付了0.33歐的環境成本以及1.16歐的社會成本【註2】。其中，環境成本包括氣候變遷、資源使用（稀缺原物料、能源、水）、土地使用以及環境污染（空氣、水、土地）等，社會成本則納入了可可豆產業鏈中的（性）騷擾、工安風險、低薪、缺乏社會保險、童工以及強迫勞動等問題面向。

由True Price聯合Solidaridad、Hivos、Fairtrade Nederland、CIRCL等多家 NGO舉辦的True Price Festival，將向消費者展示「True Pricing」背後的故事：一項產品的「真實價格」如何計算？有什麼方法可以縮小這個數字與市價之間的差距、彌平生產與消費所帶來的剝削與不平等？活動原定在阿姆斯特丹全球第一家「True Price Store」（真實價格商店）舉行，現因疫情改由線上進行。在這裡，你可以為你所想買的商品，決定你願意支付的「真實價格」——歡迎參觀選購！

👉 True Price Festival 官網：https://trueprice.org/festival/
👉 手刀註冊：https://lnkd.in/dJfK8jU

參考資料：
【註1】Oneerlijke stuntprijzen in ‘De Goedkoopste Winkel van Nederland’（「全荷蘭最便宜的商店」中不公平的產品單價）, https://tinyurl.com/y4q7q53h
【註2】The True Cost of Cocoa - Progress Report 2018 Report by True Price, commissioned by Tony's Chocolonley, https://tinyurl.com/yabjk42p",True
225292010874776_4581435098593757,2020-11-26T07:22:09+0000,"【#荷式歷史文化】英國移民當年去美國前其實是想定居荷蘭？
 
今天是11月的第四個星期四，是美國的感恩節🦃。雖然感恩節是根源美國的節日，但你知道嗎？荷蘭跟感恩節的「起源」也有關係唷！
 
#猜猜是什麼地方跟感恩節有關吧～
 
很多人可能聽過感恩節的故事：1620年，一群英國的清教徒朝聖者，搭乘著五月花號⛵ ，千里迢迢到達了美國。當年冬天不少人饑寒交迫，在北美原住民的協助下才生存下來，感恩節便是要感謝當年原住民的照顧。而鮮為人知的前情提要是：這些朝聖者在前往美國前，其實早在荷蘭萊頓定居了十幾年呢！

這些清教徒先是在1607-1608年因為宗教衝突的緣故開始離開英國，來到了對不同宗教接受度較高的荷蘭。他們先是到達阿姆斯特丹，隨後移居到當時荷蘭的第二大城市－－萊頓。萊頓當時是工業中心，紡織業和釀造業興盛，對一群不會說荷蘭語的移民而言，只要擁有技能就能找到工作，是非常適合定居的地方🏡

但隨著時間過去，朝聖者們也漸漸發現了許多無法克服的問題：語言障礙讓他們難以接受荷蘭教育，找工作也更為困難，只能做粗工而讓身體越來越差。他們的孩子們在荷蘭長大，開始學習爸媽們不會講的語言、不認同爸媽的宗教和文化。這些因素都讓朝聖者們感到焦慮，開始思考離開荷蘭、建立屬於他們真正的「新家園」。

於是他們於1620年分兩批人前後啟航。第一批的130人從阿姆斯特丹出發，但不幸碰到海難，全員葬身海底😢 第二批的102人於9月從英國出發，最終在該年11月抵達北美👏

直至今日，萊頓還有一個「萊頓美國朝聖先輩博物館（Leiden American Pilgrim Museum）」，如實地展示17世紀朝聖者的家居、生活用品等，並介紹朝聖者的故事和相關藝術作品。博物館本身是14世紀的建築物，是萊頓現存最古老的建築物之一喔！

#萊頓的朋友們有去過或路過嗎？

📰 資料來源：
- https://www.dutchnews.nl/features/2017/11/a-thanksgiving-story-how-the-netherlands-played-a-part-in-the-american-holiday/
- https://dutchreview.com/culture/holidays/thanksgiving-and-the-netherlands-and-how-leiden-was-key-to-the-origins-of-thanksgiving/
- https://dutchreview.com/culture/the-pilgrims-in-leiden/
- https://zh.wikipedia.org/wiki/%E4%BA%94%E6%9C%88%E8%8A%B1%E5%8F%B7
📰 圖片來源：https://www.visitleiden.nl/en/zien-en-doen/beleven/musea/leiden-american-pilgrim-museum",True
225292010874776_4597471206990146,2020-11-23T06:34:43+0000,"【#荷式吃喝玩樂】【#有貓就給讚】Kattencafé Kopjes：阿姆斯特丹貓奴的小天堂，入場需繳「貓稅」（cat tax）。作者：Cherie Lee ❤️🐱🐤🐳🐥🐸🐔🐱🐬

貓奴們請注意！荷事生非本日介紹阿姆斯特丹的貓咪咖啡廳：Kattencafé Kopjes，是全荷蘭第一家貓咪咖啡廳！

Kopjes 荷蘭文直接翻譯是「杯子」的意思，不過kopjes也可以翻成「小頭」，所以 kopjes (kopjes geven) 也指貓咪用牠的小頭過來磨你的意思，可愛指數滿點🐱

這家咖啡廳不僅設有20人的人數限制，以維護貓咪的友善環境，客人在入場還得先繳「貓稅」（cat tax）呢！我的老天鵝，也太可愛了吧～小編顯示已融化❤️

小編曰：我這個人很簡單，有貓就按讚😍 大家也請按讚&繳貓稅一同入場吧~

https://www.oranjeexpress.com/2020/11/22/kattencafe-kopjes%ef%bc%9a%e9%98%bf%e5%a7%86%e6%96%af%e7%89%b9%e4%b8%b9%e8%b2%93%e5%a5%b4%e7%9a%84%e5%b0%8f%e5%a4%a9%e5%a0%82/",False
