created_time,is_popular,id,shares,reactions_like,reactions_love,reactions_wow,reactions_haha,reactions_sad,reactions_angry,reactions_thankful,reactions_pride,reactions_care
2020-12-28T11:27:08+0000,False,225292010874776_4744674852269780,1,27,0,0,0,0,0,0,0,0
2020-12-25T12:33:25+0000,False,225292010874776_4733715963365669,1,30,0,0,5,0,0,0,0,0
2020-12-24T12:24:44+0000,False,225292010874776_4726051217465477,3,56,3,0,0,0,0,0,0,0
2020-12-22T15:36:57+0000,False,225292010874776_4722557027814896,0,0,0,0,0,0,0,0,0,0
2020-12-22T14:07:46+0000,False,225292010874776_4722250217845577,0,34,2,0,0,0,0,0,0,0
2020-12-22T08:00:57+0000,False,225292010874776_4696620293741903,23,183,8,1,2,0,0,0,0,0
2020-12-21T09:30:31+0000,False,225292010874776_4715327488537850,4,24,0,0,0,0,0,0,0,0
2020-12-18T08:00:39+0000,True,225292010874776_4698599726877293,5,206,7,2,2,0,0,0,0,0
2020-12-16T08:00:21+0000,False,225292010874776_4589367737800493,2,80,1,0,0,0,0,0,0,0
2020-12-15T12:16:29+0000,False,225292010874776_4692311954172737,7,102,2,1,0,0,0,0,0,0
2020-12-14T18:55:22+0000,False,225292010874776_4689771264426806,45,299,1,102,2,62,1,0,0,0
2020-12-14T07:30:57+0000,False,225292010874776_4686164854787447,2,93,3,0,0,0,0,0,0,0
2020-12-11T08:00:41+0000,True,225292010874776_4671602862910313,22,210,2,6,2,0,0,0,0,0
2020-12-09T07:21:44+0000,False,225292010874776_4665334040203862,5,61,0,2,1,0,0,0,0,0
2020-12-07T07:30:09+0000,False,225292010874776_4572366496167284,12,156,4,1,1,0,0,0,0,0
2020-12-05T15:41:02+0000,False,225292010874776_4651913241545942,2,65,2,0,0,0,0,0,0,0
2020-12-04T08:00:15+0000,False,225292010874776_4642138352523431,9,52,1,1,0,0,0,0,0,0
2020-12-02T07:57:35+0000,False,225292010874776_4635689033168363,4,39,0,0,0,0,0,0,0,0
2020-12-01T07:09:00+0000,False,225292010874776_4631485426922057,9,196,1,2,0,0,0,0,0,0
2020-11-30T10:22:06+0000,False,225292010874776_4624069780996955,8,60,1,16,15,0,0,0,0,0
2020-11-28T08:00:46+0000,False,225292010874776_4608508805886386,15,86,1,1,1,0,0,0,0,0
2020-11-26T13:20:02+0000,False,225292010874776_4609094952494438,22,121,7,8,0,0,0,0,0,0
2020-11-26T07:22:09+0000,False,225292010874776_4581435098593757,29,227,4,8,0,0,0,0,0,0
2020-11-23T06:34:43+0000,False,225292010874776_4597471206990146,2,42,12,0,0,0,0,0,0,0
2020-11-20T06:48:33+0000,False,225292010874776_4584368174967116,6,85,2,1,1,0,0,0,0,0
2020-11-18T12:05:10+0000,False,225292010874776_4576589515744982,6,120,2,12,1,1,0,0,0,0
2020-11-17T07:22:13+0000,False,225292010874776_4563528610384406,5,80,8,0,4,0,0,0,0,0
2020-11-16T09:03:12+0000,False,225292010874776_4564967723573828,0,16,2,0,0,0,0,0,0,0
2020-11-14T09:30:28+0000,False,225292010874776_4558512937552640,0,21,0,2,0,0,0,0,0,0
2020-11-13T07:22:55+0000,False,225292010874776_4553644204706180,6,47,3,0,0,0,0,0,0,0
2020-11-11T12:47:15+0000,False,225292010874776_4545701505500450,9,96,4,0,0,0,0,0,0,0
2020-11-10T03:51:19+0000,False,225292010874776_4539808169423117,7,48,2,0,0,0,0,0,0,0
2020-11-08T07:50:07+0000,False,225292010874776_4531817396888861,1,115,5,0,1,0,0,0,0,0
2020-11-06T07:45:00+0000,False,225292010874776_4521505524586715,5,61,4,0,2,0,0,0,0,0
2020-11-04T12:29:17+0000,False,225292010874776_4515103685226899,20,118,1,2,1,0,0,0,0,0
2020-11-02T16:08:24+0000,False,225292010874776_4507403419330259,33,397,4,135,79,0,0,0,0,0
2020-11-02T08:00:43+0000,False,225292010874776_4503277096409558,0,31,0,0,0,0,0,0,0,0
2020-10-30T08:00:07+0000,False,225292010874776_4490827357654532,2,21,0,0,12,0,0,0,0,0
2020-10-28T07:17:10+0000,False,225292010874776_4483975765006358,11,111,3,1,1,0,0,0,0,0
2020-10-25T23:16:58+0000,False,225292010874776_731610560768128,0,11,1,0,0,0,0,0,0,0
2020-10-25T08:08:00+0000,False,225292010874776_4467793966624538,8,72,1,0,2,0,0,0,0,0
2020-10-25T06:14:55+0000,False,225292010874776_702910880326091,0,7,1,0,0,0,0,0,0,0
2020-10-24T11:24:44+0000,False,225292010874776_4467470906656844,0,65,5,0,0,0,0,0,0,0
2020-10-23T07:05:09+0000,False,225292010874776_4462330110504257,5,35,3,0,0,0,0,0,0,0
2020-10-21T08:05:09+0000,False,225292010874776_4453921998011735,2,40,0,0,0,0,0,0,0,0
